Event,Subject,Gender,Author Gender,Story Genre
embark,he,M,Female,Fiction
consider,he,M,Female,Fiction
engage,him,M,Female,Fiction
engage,him,M,Female,Fiction
love,he,M,Female,Fiction
see,he,M,Female,Fiction
bathe,she,F,Female,Fiction
entreat,him,M,Female,Fiction
spare,her,F,Female,Fiction
love,she,F,Female,Fiction
buy,he,M,Female,Fiction
design,he,M,Female,Fiction
bestow,he,M,Female,Fiction
find,he,M,Female,Fiction
hear,he,M,Female,Fiction
attend,him,M,Female,Fiction
command,he,M,Female,Fiction
leave,her,F,Female,Fiction
float,she,F,Female,Fiction
lose,he,M,Female,Fiction
allow,he,M,Female,Fiction
exchange,he,M,Female,Fiction
appear,he,M,Female,Fiction
carry,him,M,Female,Fiction
quit,he,M,Female,Fiction
faint,he,M,Female,Fiction
bring,him,M,Female,Fiction
restore,him,M,Female,Fiction
rub,him,M,Female,Fiction
force,him,M,Female,Fiction
show,he,M,Female,Fiction
wrap,him,M,Female,Fiction
place,him,M,Female,Fiction
recover,he,M,Female,Fiction
restore,him,M,Female,Fiction
deprive,him,M,Female,Fiction
remove,him,M,Female,Fiction
gnash,he,M,Female,Fiction
oppress,him,M,Female,Fiction
ask,him,M,Female,Fiction
torment,him,M,Female,Fiction
come,he,M,Female,Fiction
reply,he,M,Female,Fiction
see,him,M,Female,Fiction
ask,he,M,Female,Fiction
call,he,M,Female,Fiction
call,him,M,Female,Fiction
say,he,M,Female,Fiction
inquire,he,M,Female,Fiction
manifest,he,M,Female,Fiction
persuade,him,M,Female,Fiction
give,him,M,Female,Fiction
love,him,M,Female,Fiction
excite,he,M,Female,Fiction
speak,he,M,Female,Fiction
interest,he,M,Female,Fiction
converse,he,M,Female,Fiction
enter,he,M,Female,Fiction
evince,he,M,Female,Fiction
try,he,M,Female,Fiction
place,he,M,Female,Fiction
speak,he,M,Female,Fiction
appear,he,M,Female,Fiction
lead,he,M,Female,Fiction
ask,he,M,Female,Fiction
say,he,M,Female,Fiction
suffer,he,M,Female,Fiction
retire,he,M,Female,Fiction
see,him,M,Female,Fiction
possess,he,M,Female,Fiction
elevate,him,M,Female,Fiction
renew,he,M,Female,Fiction
reply,he,M,Female,Fiction
perceive,he,M,Female,Fiction
interrupt,him,M,Female,Fiction
tell,he,M,Female,Fiction
commence,he,M,Female,Fiction
relate,he,M,Female,Fiction
know,him,M,Female,Fiction
respect,he,M,Female,Fiction
know,him,M,Female,Fiction
pass,he,M,Female,Fiction
become,he,M,Female,Fiction
distinguish,he,M,Female,Fiction
retreat,he,M,Female,Fiction
live,he,M,Female,Fiction
deplore,he,M,Female,Fiction
